filename,spectral_centroids,spectral_bandwidth,spectral_contrast,spectral_rolloff,spectral_flatness,bpm
"【PV】twinkle night 【somunia solo ver】 - 1.twinkle night [somunia solo ver_PV](72(Av795945802,P1).mp3",2691.4671392877035,2908.7922407798346,21.45987881075468,6278.286537121815,0.03715181,86.1328125
"【somunia熟肉】[ cover ] nekomeshi - やくしまるえつこ _ somuni - 1.[ cover ] nekomeshi - やくしまるえつこ _ somun(Av64059468,P1).mp3",2641.637322518058,2697.085457163064,22.80666340315129,5701.422756153857,0.025481248,117.45383522727273
"【somunia熟肉】食虫植物 - 理芽  somunia - 1.【 cover 】食虫植物 - 理芽 _x264(Av928162828,P1).mp3",2328.6939581052675,2494.361748013053,23.31775519006218,5016.166101880192,0.0307882,123.046875
"【USAO】Try again【Bright Colors 4】 - 1.1(Av17716422,P1).mp3",3072.5371726654994,2807.1609252354006,20.9408589179075,6454.055298234228,0.059930384,86.1328125
"【V.W.P】《言霊_言灵》 _ V.W.P #6【Original MV】 - 1.言霊_220117_zhang(Av253310569,P1).mp3",2240.491718738682,2264.4023784912133,24.03051336472512,4547.91919605152,0.050480112,86.1328125
"【ななひら】INTERNET OVERDOSE - 1.【ななひら】INTERNET OVERDOSE(Av893089617,P1).mp3",3246.5764533172514,2910.4207534456273,22.84730854437939,6797.234534542469,0.04829146,161.4990234375
"【めぐ】Flyer! - 1.【オリジナルMV】「Flyer! 」歌ってみたver.めぐ - ニコニコ動画(Av767684721,P1).mp3",2614.400760108182,2528.2726887587664,23.046383865648043,5331.449070542528,0.027623113,95.703125
"【れい】吐出 - 1.はきだすを歌いました - ニコニコ動画(Av16454782,P1).mp3",2904.5707573040236,2503.7781118177213,22.34753549202659,5650.489452138988,0.05057416,112.34714673913044
"【ナースロボ＿タイプＴ Caramel Act.2】たぶん _ 大概【UTAU cover +UST - 1.たぶん(Av796569992,P1).mp3",1737.6233788013685,2033.0600124983598,23.897521866842865,3826.4476844896403,0.011052433,89.10290948275862
"【ナースロボ＿タイプＴ Sugar】あなたクランケン【UTAU音源配布】 - 1.2(Av291477249,P1).mp3",2054.7375284898267,2331.244180043793,22.62383955621891,4524.685399242729,0.016344326,135.99917763157896
"【ナースロボ＿タイプＴ】milk【UTAUcover】 - 1.milk(Av632543544,P1).mp3",1857.0869274730053,2191.4059657304797,22.41160881606118,4160.60102516439,0.0252179,112.34714673913044
"【ナースロボ＿タイプＴ】Penguin's Detour【UTAUcover】 - 1.1(Av248375142,P1).mp3",2162.922382436833,2234.926831398826,21.728364918140848,4386.054001920863,0.031953696,123.046875
"【中文字幕】somunia - Emerge - 1.somunia - Emerge_x264(Av382679438,P1).mp3",1567.6121664801192,2145.295896302072,23.60901476830028,3362.179128099628,0.0077733635,143.5546875
"【中文字幕】somunia - Unstep feat.ケンモチヒデフミ - 1.somunia - Unstep feat.ケンモチヒデフミ_x264(Av722833489,P1).mp3",2200.543070160148,2487.411987185391,21.912189926072276,4897.5018445489495,0.047403943,117.45383522727273
"【中日字幕】INTERNET OVERDOSE _ covered by 藍月なくる - 1.INTERNET OVERDOSE _ covered by 藍月なくる_A(Av254097540,P1).mp3",2788.6301418040275,2672.1511277432996,22.65644617463459,5888.834479519131,0.03962368,161.4990234375
"【偶像大师音乐】 はじめてのチュウ 赤城みりあcv_黒沢ともよ - 1.【偶像大师音乐】 はじめてのチュウ 赤城みりあcv_黒沢ともよ(Av98634874,P1).mp3",2181.7991679876714,2407.9507831810215,24.98062655928642,4654.741100224785,0.020278899,107.666015625
"【初音ミク ＆ 可不】成为空【MIMI】 - 1.P1(Av295707376,P1).mp3",1952.2633250570236,2305.959582674594,23.92787960894573,4182.550156261754,0.021851826,83.35433467741936
"【奥术魔刃 House】ぱすたすきゃっと _ ななひら(Cover_) - 1.【奥术魔刃 House】ぱすたすきゃっと _ ななひら(Cover-)_ne(Av584260110,P1).mp3",3067.441077954867,2849.280503874741,21.400975872721066,6487.050089769791,0.052506007,129.19921875
"【官方MV_中日特效字幕】那个乐队「あのバンド」_ 孤独摇滚第八话插曲 - 1.【官方MV_中日特效字幕】那个乐队「あのバンド」_ 孤独摇滚第八话插曲(Av690575311,P1).mp3",2601.3868345260366,2481.342487442164,21.84193075388467,5261.149432689032,0.033979334,95.703125
"【官方】King Gnu - 《Prayer X》MV（动画《战栗杀机》ED） - 1.Prayer X_fin0911(Av678263203,P1).mp3",1493.7630323816088,2037.3947891539017,22.381719144732273,3162.0892873722037,0.02543091,86.1328125
"【官方】King Gnu - 《三文小说》MV（日剧《35岁的少女》主题曲） - 1.KG_SS_H264_4K_1102(Av508903187,P1).mp3",1563.5101063401994,2054.8063526972496,22.913414609378083,3324.1534771696893,0.01570131,89.10290948275862
"【官方】King Gnu - 《白日》MV（日剧《冤罪律师》主题曲） - 1.KG_HAKUJITSU_H264_0210final(Av465676178,P1).mp3",2171.2471399926726,2237.428200369785,22.105182617760683,4436.312039582295,0.040625773,92.28515625
